:ID,end,start,type,favorites,level,duration,id,title,summary,:LABEL
18,2022-10-10T14:30Z,2022-10-10T11:30Z,Deep Dive,162,INTERMEDIATE,180,20409,"Blockchain, NFT and smart contracts for my (Java) application",In this session we will show use cases of distributed ledger technologies that go beyond cryptocurrency or speculative PNGs. Public services have been established that let you use the real benefits of distributed ledger technologies in enterprise applications without implementing a custom blockchain network. Whether you want to transfer assets that represent physical goods or need to handle immutable recording with a fast ordering public ledger. All this can be achieved by using open services that are based on leading and public distributed ledgers like Hedera or Ethereum. In several,Talk
19,2022-10-14T09:25Z,2022-10-14T08:35Z,Conference,21,BEGINNER,50,57408,Bootiful Multi-Model Applications with Redis Stack,,Talk
20,2022-10-13T12:40Z,2022-10-13T11:50Z,Conference,5,BEGINNER,50,51201,Bringing legacy codebases to Android,,Talk
21,2022-10-11T12:20Z,2022-10-11T11:30Z,Conference,173,BEGINNER,50,20723,Browser security and HTTP Headers : Attacks and protections in action ! ,,Talk
22,2022-10-11T17:30Z,2022-10-11T14:30Z,Hands-on Lab,78,BEGINNER,180,52804,Build a modern Java Serverless Quarkus Application,,Talk
23,2022-10-10T10:30Z,2022-10-10T07:30Z,Deep Dive,203,INTERMEDIATE,180,14952,Build and deploy cloud native Java microservices on Kubernetes with Istio service mesh,"In this session, we will learn how to build and deploy Java microservices to the cloud using Istio, Kubernetes, JHipster, and Spring Cloud. We will see how Istio moves the responsibility of service discovery, load balancing, circuit breaking, monitoring, etc from the application to the platform, and how to use different features of Istio, like load balancing, canary deployments, A/B testing, and routing. We will also cover",Talk
24,2022-10-11T10:30Z,2022-10-11T07:30Z,Deep Dive,142,BEGINNER,180,11360,"Build Better, Deploy Faster: Spring Boot + Spring Cloud in the Cloud for frictionless Kubernetes-based Microservices",,Talk
25,2022-10-13T15:20Z,2022-10-13T14:30Z,Conference,46,INTERMEDIATE,50,19437,"Building ML workflows with Java, Python & Apache Beam",,Talk
26,2022-10-11T16:05Z,2022-10-11T15:35Z,Tools-in-Action,43,BEGINNER,30,16764,Building multi-screen experiences for the mobile web,,Talk
27,2022-10-10T10:30Z,2022-10-10T07:30Z,Hands-on Lab,54,INTERMEDIATE,180,20414,Building Reusable Server Components in React 18,,Talk
28,2022-10-13T10:40Z,2022-10-13T09:50Z,Conference,97,INTERMEDIATE,50,13114,Building Smart Devices using Java on the Raspberry Pi - An intro to Pi4J.,"Java on a Raspberry Pi is a cheap, small, and powerful way to get started programming. You can use the same JVM applications you're used to on more powerful machines, and Raspberry Pi has a range of sensors and Components that you can use to create interesting projects.",Talk
29,2022-10-11T16:50Z,2022-10-11T16:20Z,Tools-in-Action,134,BEGINNER,30,20449,Caching beyond simple put and gets,"Cache invalidation and naming things are the hard things in computer science. Caching can be hard, but it can be done well. In this talk, we will look at different use cases that might require caching, and we will discuss how to design and effectively implement caching in a Hazelcast-managed service.",Talk
30,2022-10-11T12:20Z,2022-10-11T11:30Z,Conference,80,BEGINNER,50,14179,CI/CD pipeline that enables Moore’s law and and propels the world to the future,"ASML lithography scanners are used to produce 85% of all chips (CPUs, RAM, SSDs, NAND, bluetooth, sensors, etc) made on silicon. ASML scanners have multiple computers inside with multiple operating systems, running software stack of >50 mil lines of code on multiple languages from C till Python and Julia. Those scanners are able to position silicon wafers with nanometer accuracy and several G of acceleration.",Talk
31,2022-10-12T12:50Z,2022-10-12T12:00Z,Conference,296,INTERMEDIATE,50,17989,"Clean Code with Records, Sealed Classes and Pattern Matching","This presentation covers the JDK 19 record pattern matching feature, how it can be used to improve the readability of Java code, and some of the future plans for this feature.",Talk
32,2022-10-11T10:30Z,2022-10-11T07:30Z,Hands-on Lab,55,BEGINNER,180,6307,Cloud-native for beginners: Istio 0 to 60,,Talk
33,2022-10-12T12:50Z,2022-10-12T12:00Z,Conference,72,BEGINNER,50,17992,Co-creating with UX and Software," Bringing design, front end, back end etc. together can lead to inefficient workflows and knowledge gaps.",Talk
34,2022-10-10T10:30Z,2022-10-10T07:30Z,Hands-on Lab,110,BEGINNER,180,18789,Code Your First Video Game AI,,Talk
35,2022-10-13T08:20Z,2022-10-13T07:30Z,Conference,76,BEGINNER,50,19443,Confessions of a Rusty Java developer,"Rust is a very powerful language that can be used for asynchronous server-side programming. It is also popular among developers on Stack Overflow, which makes it a good choice for learning.",Talk
36,2022-10-12T19:00Z,2022-10-12T18:00Z,BOF,16,ADVANCED,60,17961,Connexion: API-first for all,"API-first frameworks are a great way to develop your API. We'll discuss Connexion, a Python API-first framework that automagically handles HTTP requests based on an OpenAPI specification.",Talk
37,2022-10-11T16:50Z,2022-10-11T16:20Z,Tools-in-Action,42,INTERMEDIATE,30,16124,Container Queries: The next step towards a truly modular CSS,,Talk
38,2022-10-13T10:40Z,2022-10-13T09:50Z,Conference,54,BEGINNER,50,49653,"Copilot to Cover: Why AI can’t replace developers with robots, but can make life better",,Talk
39,2022-10-11T13:25Z,2022-10-11T12:35Z,Conference,10,BEGINNER,50,52805,Creating innovation portfolios in a leading European IT Solutions and Services Group,,Talk
40,2022-10-13T11:10Z,2022-10-13T10:55Z,Quickie,52,BEGINNER,15,20170,Cucumber tests: legends and reality,,Talk
41,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,168,BEGINNER,50,11361,Das Boot: Diving into Debugging Spring Boot Applications,This is a live coding adventure into the hidden passageways of your Spring Boot application.,Talk
42,2022-10-13T08:20Z,2022-10-13T07:30Z,Conference,38,INTERMEDIATE,50,19401,Data At Scale - 10 pitfalls holding you back bringing value from data at scale,Avoid 10 pitfalls when scaling up data use cases.,Talk
43,2022-10-13T15:20Z,2022-10-13T14:30Z,Conference,33,INTERMEDIATE,50,49202,Database Hacking 101: Building fast bulk import in Java + C,,Talk
44,2022-10-14T09:25Z,2022-10-14T08:35Z,Conference,162,INTERMEDIATE,50,6904,Debugging distributed systems,,Talk
45,2022-10-13T10:40Z,2022-10-13T09:50Z,Conference,126,INTERMEDIATE,50,11655,Deserialization exploits in Java: why should I care?,"In this talk, we will discuss how deserialization vulnerabilities work in Java and how to avoid them.",Talk
46,2022-10-11T10:30Z,2022-10-11T07:30Z,Deep Dive,487,INTERMEDIATE,180,48051,Design Patterns Revisited in Modern Java,,Talk
47,2022-10-13T16:30Z,2022-10-13T15:40Z,Conference,95,INTERMEDIATE,50,16108,"Distributed applications - Better off with frameworks, Kubernetes, service meshes or all of them at once?","Distributed software architecture based on microservices can provide several advantages, but also new challenges that need to be addressed in a specific way. One approach to address these challenges is to use service meshes, but another option is to Leverage the power of eBPF technology. The talk will provide a overview of these approaches and how they can be used together to create a successful distributed software architecture.</p>",Talk
48,2022-10-12T11:45Z,2022-10-12T11:05Z,Lunch Talks,108,INTERMEDIATE,40,1915,Distributed Tracing as Architecture,"In this talk, I want to give a very pragmatic approach on creating the architecture of a (new) system. And it's not only drawing boxes and lines or pitching some tool. It starts with a short but intense design phase and then validating and evolving the architecture from a running application using distributed tracing. This means the system itself will be the architecture! We will use Elastic Kubernetes Service on AWS with XRay as a practical example to explain and visualize the architecture of a",Talk
49,2022-10-12T16:40Z,2022-10-12T15:50Z,Conference,110,ADVANCED,50,18000,Docker Compose: From Localhost to Cloud,"In this talk we will quickly present the history behind Docker Compose, and highlight some of the novelties brought by Docker Compose 2.0. We will show you some advanced use cases that you might use as a developer on your local machine. But did you know that Ops can also take advantage of Docker Compose by deploying an entire application to the Cloud? Yes, in a single command an entire application can be deployed to your Cloud provider without the need of Kubernetes.",Talk
50,2022-10-14T10:30Z,2022-10-14T09:40Z,Conference,69,ADVANCED,50,12706,Docker Who: Small Containers Through Time and Space," Alpine Linux is being integrated into OpenJDK, and it offers significant benefits for container optimization.",Talk
51,2022-10-14T08:20Z,2022-10-14T07:30Z,Conference,31,INTERMEDIATE,50,18774,Doctolib needs a bigger database. Ok. But which one?,"Doctolib runs on AWS Aurora, and is one of the largest transaction databases in Europe. We are using the biggest available machines, and we are still planning to upscale even more. In this session, we will expose the actual limits, our immediate needs, and what we plan to do afterwards. Our criteria to find a replacement solution. Scalability, code compatibility, costs, hosting… How we chose to benchmark each solution Which solution was tested? And not tested? The result of",Talk
52,2022-10-12T11:45Z,2022-10-12T11:05Z,Lunch Talks,86,INTERMEDIATE,40,5314,Don't hack the platform ☠️💣💥,,Talk
53,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,69,INTERMEDIATE,50,17954,Duke’s Star Trek with Java 18 Code Challenges,,Talk
54,2022-10-13T13:50Z,2022-10-13T13:00Z,Conference,110,BEGINNER,50,16784,"Dungeons, Dragons, and Graph Databases","This talk will introduce you to the concept of graph databases and how they can be used to solve problems related to the dungeon crawl, such as optimizing routes and finding best routes.",Talk
55,2022-10-11T15:20Z,2022-10-11T14:50Z,Tools-in-Action,60,BEGINNER,30,18768,Dynamic workflow orchestration with Apache Airflow and CrateDB,"This talk will illustrate how easy it is to automate orchestration workflows with Apache Airflow and CrateDB. Apache Airflow is one of the most popular platforms for programmatically creating, scheduling, and monitoring workflows. The workflows are defined as directed acyclic graphs (DAGs) where each node in a DAG represents an execution task. Initially, Airflow was designed in a way that each task run independently. As of Airflow 2.3, a dynamic",Talk
56,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,33,BEGINNER,50,60701,Embrace security in your supply chain,,Talk
57,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,30,BEGINNER,50,52802,End-to-end innersourcing and secure development with GitHub,,Talk
58,2022-10-11T12:20Z,2022-10-11T11:30Z,Conference,34,BEGINNER,50,57404,Ensuring traffic livability with artificial intelligence,,Talk
59,2022-10-11T14:30Z,2022-10-11T13:40Z,Conference,72,BEGINNER,50,60703,Ephemeral Developer Environments for a better Developer Experience,,Talk
60,2022-10-12T15:30Z,2022-10-12T14:40Z,Conference,43,BEGINNER,50,18778,Error 404: Color not found,,Talk
61,2022-10-13T16:30Z,2022-10-13T15:40Z,Conference,58,INTERMEDIATE,50,3954,Event-driven autoscaling for Serverless Java,"In this session, you will learn how to redesign your Kubernetes autoscaling architecture by event-driven metrics from Apache Kafka over standard resources (CPU, Memory) with Knative and KEDA integration for serverless Java using Quarkus.",Talk
62,2022-10-12T12:50Z,2022-10-12T12:00Z,Conference,181,INTERMEDIATE,50,2358,Event Sourcing - what could possibly go wrong?,"This presentation is a summary of my experience with Event Sourcing gathered while working on 5 different commercial products. Instead of theoretical aspects, I will focus on possible challenges with ES implementation.",Talk
63,2022-10-12T10:50Z,2022-10-12T10:00Z,Conference,70,INTERMEDIATE,50,49651,Ever seen an astronaut riding a horse?  Understanding and applying text to image generation models,,Talk
64,2022-10-11T14:30Z,2022-10-11T11:30Z,Deep Dive,365,INTERMEDIATE,180,48052,Exception Handling in Functional and Reactive Programming,,Talk
65,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,79,BEGINNER,50,20706,Expect The Unexpected: How To Choose Reliable Open Source Dependencies,,Talk
66,2022-10-12T16:40Z,2022-10-12T15:50Z,Conference,76,INTERMEDIATE,50,14955,Exploring Stateful Microservices in a Cloud Native World,,Talk
67,2022-10-10T16:50Z,2022-10-10T16:20Z,Tools-in-Action,135,INTERMEDIATE,30,2959,"Fairies, Fakers and Factories: boost you tests with better test data","In this session, we will discuss how you can use test data generators to improve the quality of your test data. This can massively improve your productivity when writing tests.",Talk
68,2022-10-12T10:50Z,2022-10-12T10:00Z,Conference,82,BEGINNER,50,51202,Fake it till you make it: an introduction to synthetic data,,Talk
69,2022-10-12T11:45Z,2022-10-12T11:30Z,Quickie,59,BEGINNER,15,20157,Fast and Furious Full-Stack Development with JHipster & Spring Native,,Talk
70,2022-10-12T10:50Z,2022-10-12T10:00Z,Conference,74,BEGINNER,50,48551,Fleet is on its way,,Talk
71,2022-10-10T16:05Z,2022-10-10T15:35Z,Tools-in-Action,84,INTERMEDIATE,30,20184,From 'It works on my machine' to 'It was written by a machine' - GitHub Codespaces & Copilot,,Talk
72,2022-10-10T14:30Z,2022-10-10T11:30Z,Deep Dive,86,ADVANCED,180,19441,from Java and Scala to assembly,,Talk
73,2022-10-13T11:35Z,2022-10-13T10:55Z,Lunch Talks,121,INTERMEDIATE,40,11365,From Objects to Functions,,Talk
74,2022-10-10T14:30Z,2022-10-10T11:30Z,Hands-on Lab,119,INTERMEDIATE,180,6665, From Serverful to Serverless Java with AWS Lambda,,Talk
75,2022-10-12T12:50Z,2022-10-12T12:00Z,Conference,174,ADVANCED,50,11356,Future of Frontend Development,,Talk
76,2022-10-11T16:50Z,2022-10-11T16:20Z,Tools-in-Action,19,INTERMEDIATE,30,20726,Fuzzing in Go,,Talk
77,2022-10-13T16:30Z,2022-10-13T15:40Z,Conference,130,ADVANCED,50,20426,Game of Loom: implementation patterns and performance implications playing with virtual threads,"Virtual threads are a game changer in the Java ecosystem, but their performance and memory impact varies depending on the algorithm and implementation.",Talk
78,2022-10-13T11:40Z,2022-10-13T10:50Z,Conference,29,INTERMEDIATE,50,20425,Generational Shenandoah: Better latency with smaller heaps,Generational garbage collection (GCC) can improve the timeliness of your services by allowing concurrent garbage collection to complete in less time than is required for traditional Shenandoah full garbage collection cycles. This means less memory is required for new allocations and floating garbage and fewer CPU resources are required by the concurrent GC worker threads.,Talk
79,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,159,INTERMEDIATE,50,10003,"Get old, go slow, write code!",Old developers are often better at taking their time and understanding the codebase better than the young ones.,Talk
80,2022-10-12T10:50Z,2022-10-12T10:00Z,Conference,289,BEGINNER,50,19447,Getting started with Domain Driven Design without fighting the wrong battles,,Talk
81,2022-10-13T10:40Z,2022-10-13T09:50Z,Conference,154,INTERMEDIATE,50,20174,Google's Journey from Java to Kotlin for Server-Side Programming,,Talk
82,2022-10-10T14:30Z,2022-10-10T11:30Z,Deep Dive,149,BEGINNER,180,17999,GraalVM Cloud Native & Micronaut® Deep Dive,,Talk
83,2022-10-11T14:15Z,2022-10-11T11:15Z,Hands-on Lab,68,INTERMEDIATE,180,20155,GraalVM Native Image Bootcamp,,Talk
84,2022-10-10T14:30Z,2022-10-10T11:30Z,Deep Dive,142,INTERMEDIATE,180,19409,"Gradle: Give your build some love, it will be returned!","In this workshop, you will learn how to use Gradle to build Java software projects, and you will see how the new features in Gradle can make development more efficient.",Talk
85,2022-10-13T16:30Z,2022-10-13T15:40Z,Conference,47,ADVANCED,50,20175,gRPC Cornerstone: HTTP/2… or HTTP/3?,"This talk provides practical advice on triaging gRPC interactions and achieving performance improvements - by covering technical details, starting with HTTP/2 frames and streams in gRPC. It also exposes the limitations of HTTP/2 and prepares the audience for the upcoming HTTP/3 standard and its integration with gRPC.",Talk
86,2022-10-12T11:45Z,2022-10-12T11:05Z,Lunch Talks,192,BEGINNER,40,20411,Happy Developers write better code,,Talk
87,2022-10-10T16:05Z,2022-10-10T15:35Z,Tools-in-Action,120,INTERMEDIATE,30,16762,Helm vs. Kustomize: the frenemies that soothe Kubernetes,"Helm and Kustomize are two tools used to manage Kubernetes resources. They have different strengths and weaknesses, but can work together when needed.",Talk
88,2022-10-12T10:50Z,2022-10-12T10:00Z,Conference,131,BEGINNER,50,16763,"Highly available, distributed & resilient software... team","Microservices, messages queues, load balancers, caches, sharding, decoupling... These architectural concepts are designed to improve digital exchanges within our apps, and above all to anticipate and manage failures. By modeling the exchanges within your team as software architecture, we will see how these design patterns can also be effective in solving our communication issues.",Talk
89,2022-10-10T16:05Z,2022-10-10T15:35Z,Tools-in-Action,32,BEGINNER,30,16135,How Betclic is using its Datalake to generate some load tests and simulate sports events ?,,Talk
90,2022-10-13T15:20Z,2022-10-13T14:30Z,Conference,35,BEGINNER,50,50051,How Graph Data Science can turbocharge your Knowledge Graph,,Talk
91,2022-10-12T16:40Z,2022-10-12T15:50Z,Conference,59,BEGINNER,50,17454,How I built the world’s most efficient deepfake detector with $100,"
ThisPersonDoesNotExist.com is a website that generates realistic fake profiles, and at a time when disinformation and manipulation of opinion spread through social networks, it is important to be equipped to spot fake identities. In this beginner-friendly conference, we'll cover the basics of machine learning, and a technique to generate almost undetectable fake faces yourself.",Talk
92,2022-10-11T16:05Z,2022-10-11T15:35Z,Tools-in-Action,94,INTERMEDIATE,30,20711,How I split a 60 module mono-repo in minutes,"In this talk, I will show you how to quickly and easily split up a large mono-repository into smaller ones using a range of tools. I will also share my journey of finding the easiest solution for doing so, based on a real-world scenario.",Talk
93,2022-10-10T14:30Z,2022-10-10T11:30Z,Hands-on Lab,277,INTERMEDIATE,180,3401,How the right architecture helps you make big changes,"This workshop will teach you how to move to a new library or framework in small steps, while also increasing your code quality.",Talk
94,2022-10-12T15:00Z,2022-10-12T12:00Z,Hands-on Lab,56,INTERMEDIATE,180,60702,How the right architecture helps you make big changes - 2,,Talk
95,2022-10-13T08:20Z,2022-10-13T07:30Z,Conference,154,BEGINNER,50,6661,How to avoid common pitfalls with modern microservices testing,,Talk
96,2022-10-13T11:35Z,2022-10-13T10:55Z,Lunch Talks,55,INTERMEDIATE,40,16134,"How to handle 100,000,000 logins without service interruption ? Betclic will relate his football Euro 2020",Betclic is using some technologies to ensure a flawless continuity of service during the Euro 2020 football excitement.,Talk
97,2022-10-12T11:45Z,2022-10-12T11:30Z,Quickie,154,BEGINNER,15,18760,How To Review Someone's Code While Not Being A Jerk!,,Talk
98,2022-10-11T14:30Z,2022-10-11T11:30Z,Deep Dive,72,INTERMEDIATE,180,4505,How to secure a Kubernetes cluster from scratch?,"We will audit the technical configuration of a Kubernetes cluster, exploit Kubernetes primitives to implement security measures, integrate Falco to detect suspicious actions, and deploy a CI/CD pipeline to detect compromised images during the build.",Talk
99,2022-10-13T13:50Z,2022-10-13T13:00Z,Conference,69,INTERMEDIATE,50,16767,How to train machine learning agents to do fun and absurd things using Unity3D.,This session will show you how to use machine learning agents in Unity3D to train your NPCs to do some wild and absurd things.,Talk
100,2022-10-11T16:50Z,2022-10-11T16:20Z,Tools-in-Action,196,BEGINNER,30,2957,Improving your skills with the debugger,,Talk
101,2022-10-12T10:50Z,2022-10-12T10:00Z,Conference,329,INTERMEDIATE,50,16131,Introducing Spring Framework 6.0,"This presentation will cover the main topics of Spring Framework 6.0: the new Java 17 and Jakarta EE 9 baseline, the AOT/Native efforts for GraalVM native applications and efficient JVM apps, the Spring Observability initiative and what it means for various components like RestTemplate, web controllers... and more!",Talk
102,2022-10-13T09:30Z,2022-10-13T08:40Z,Conference,101,BEGINNER,50,57402,"IoT in the Trenches, at Scale",,Talk
103,2022-10-12T14:00Z,2022-10-12T13:10Z,Conference,82,BEGINNER,50,13713,"IoT, JavaScript and Beer Brewing: Cheers to that!","Learn how to use IoT devices to collect data about beer brewing, and use that data to improve the process.",Talk
104,2022-10-12T11:45Z,2022-10-12T11:30Z,Quickie,54,BEGINNER,15,19445,It is not about being right,,Talk
105,2022-10-13T12:40Z,2022-10-13T11:50Z,Conference,69,INTERMEDIATE,50,2359,Jakarta EE 10 - Simplicity for Modern and Lighweight Cloud Applications,This session will explore the new features of Jakarta EE 10 in an interactive way. Among the features we will go through are the new reflection-free programming model introduced in CDI 4.0 Lite and the new Java SE Bootstrap API in Jakarta RESTful Web Services 3.1.,Talk
106,2022-10-13T10:40Z,2022-10-13T09:50Z,Conference,58,BEGINNER,50,57403,Java and Rust,,Talk
107,2022-10-11T14:30Z,2022-10-11T13:40Z,Conference,191,INTERMEDIATE,50,20406,Java Collections Puzzlers,,Talk
108,2022-10-12T09:30Z,2022-10-12T08:45Z,Keynote,441,BEGINNER,45,48053,Java *is* agile,,Talk
109,2022-10-13T15:20Z,2022-10-13T14:30Z,Conference,62,INTERMEDIATE,50,10955,Java on CRaC: Superfast JVM Application Startup,"A microservice architecture can be effective at dynamically responding to changes in load, but the warmup time of JIT compilation can be a limitation. CRaC is a new project proposed and accepted into OpenJDK that aims to reduce the startup and warmup times for Java-based services.",Talk
110,2022-10-11T10:30Z,2022-10-11T07:30Z,Deep Dive,143,BEGINNER,180,20159,Java™ 18 & 19. What's new and noteworthy?,"Java is evolving so quickly that new releases are not just version bumps, but might significantly change the rules of the game.",Talk
111,2022-10-13T19:00Z,2022-10-13T18:00Z,BOF,40,ADVANCED,60,20739,Java under the Hood of Elasticsearch,,Talk
112,2022-10-12T12:50Z,2022-10-12T12:00Z,Conference,63,INTERMEDIATE,50,12702,"JOOQ, Joy of SQL",,Talk
113,2022-10-11T10:30Z,2022-10-11T07:30Z,Deep Dive,109,ADVANCED,180,17353,Kafka: a map of traps for the enlightened dev and op," <p><span style=background-color: transparent; color: rgb(0, 0, 0);>In this deep dive, we will explore traps and pitfalls to watch out for when building and running a Kafka application.</span></p>",Talk
114,2022-10-14T09:25Z,2022-10-14T08:35Z,Conference,77,INTERMEDIATE,50,20401,Keep Your Cache Always Fresh with Debezium!,"Learn how to keep read views of your data in distributed caches close to your users, always kept in sync with your primary data stores.",Talk
115,2022-10-13T13:50Z,2022-10-13T13:00Z,Conference,103,BEGINNER,50,20179,Keep your dependencies in check,,Talk
116,2022-10-14T10:30Z,2022-10-14T09:40Z,Conference,114,BEGINNER,50,17984,Learning Through Tinkering,,Talk
117,2022-10-12T14:00Z,2022-10-12T13:10Z,Conference,84,INTERMEDIATE,50,13704,Let's build together a microfrontends application combining multiple frameworks using Module Federation,"In this live coding demo, we will use the Module Federation plugin from Webpack 5 to assemble a Micro-Frontend application using Angular, AngularJS, VueJS and React. This will allow us to cut, version, patch and deploy our application by pieces, reducing its overall complexity.",Talk
118,2022-10-13T10:40Z,2022-10-13T09:50Z,Conference,16,INTERMEDIATE,50,17969,Let’s Go Triple Active with Three Clouds and Cilium,,Talk
119,2022-10-10T15:20Z,2022-10-10T14:50Z,Tools-in-Action,97,INTERMEDIATE,30,12703,Let's kustomize our manifests with style 🤩!,,Talk
120,2022-10-12T14:00Z,2022-10-12T13:10Z,Conference,153,INTERMEDIATE,50,5318,Let's make a contract: the art of designing a Java API,,Talk
121,2022-10-14T10:30Z,2022-10-14T09:40Z,Conference,18,INTERMEDIATE,50,11657,"LITTIL step for man, big step for mankind",,Talk
122,2022-10-13T12:40Z,2022-10-13T11:50Z,Conference,94,BEGINNER,50,18770,Load Testing Crash Course with Gatling,,Talk
123,2022-10-10T10:30Z,2022-10-10T07:30Z,Deep Dive,345,INTERMEDIATE,180,16751,Loom is Blooming,Loom is a new Java platform threading library that brings performance improvements and new concurrency patterns.,Talk
124,2022-10-10T16:05Z,2022-10-10T15:35Z,Tools-in-Action,253,BEGINNER,30,16776,Major migrations made easy,,Talk
125,2022-10-13T08:20Z,2022-10-13T07:30Z,Conference,20,BEGINNER,50,60704,"Make your workflow to your Wallet: resilient, cost-saving, and simple cloud architectures",,Talk
126,2022-10-13T12:40Z,2022-10-13T11:50Z,Conference,137,BEGINNER,50,8901,Mastering Testcontainers,,Talk
127,2022-10-13T11:35Z,2022-10-13T11:20Z,Quickie,39,INTERMEDIATE,15,1902,Math Behind Software,,Talk
138,2022-10-10T16:50Z,2022-10-10T16:20Z,Tools-in-Action,248,BEGINNER,30,16755,"Maven, my life is short!","Attaching a performance profiler to your Maven build can help identify potential bottlenecks and mitigation strategies. This talk will guide you through some of those, such as skipping Maven Mojos, using mvnd, a.k.a. Maven Daemon, vertical scaling (a machine with more CPUs and RAM) and incremental builds with GitFlow. All tricks will be presented along with relevant numbers and we will discuss not only time gains but also costs and trade-",Talk
139,2022-10-13T11:10Z,2022-10-13T10:55Z,Quickie,23,INTERMEDIATE,15,17461,Melrōse - a language and runtime to program music,,Talk
140,2022-10-13T16:30Z,2022-10-13T15:40Z,Conference,82,INTERMEDIATE,50,3955,Modern frontends with Thymeleaf and htmx,"Frontend development is getting more and more complex when using JavaScript frameworks like Angular or React. On top of that, the landscape is also rapidly changing. Developers claim that this is needed to build the highly interactive web experiences we all come to know and like. However, that is not true. This talk will show how you can use the productive combination of Java 17, Spring Boot, Thymeleaf, and the htmx JavaScript library to build such experiences without writing JavaScript. ",Talk
141,2022-10-12T12:50Z,2022-10-12T12:00Z,Conference,118,INTERMEDIATE,50,19433,Monitoring Latencies: How fast is your REST service?,,Talk
142,2022-10-13T15:20Z,2022-10-13T14:30Z,Conference,44,INTERMEDIATE,50,47155, “Multi-Player” Enterprise Applications: Why and How to Build a Collaborative UX,,Talk
